config,origin_id,origin_date,omega,alpha,beta,alpha_plus_beta,nu,mu,convergence_flag,convergence_warning,nu_boundary,near_nonstationary,cov_50,cov_80,cov_90,cov_95,cov_99,pi95_width_h63
expanding,1,2000-02-29,0.3454671026196626,0.08276681553778974,0.8854645868692194,0.9682314024070091,4.148124674612847,0.0012464356301494098,0,False,False,False,0.8412698412698413,1.0,1.0,1.0,1.0,96.77994892028342
expanding,2,2000-08-07,0.48558718564851117,0.10379359545368486,0.8540113429189593,0.9578049383726441,4.030214100748202,-0.01663610015697906,0,False,False,False,0.6666666666666666,1.0,1.0,1.0,1.0,103.22256712914941
expanding,3,2001-01-16,0.5624969400736929,0.10857063554498331,0.8376835062827384,0.9462541418277217,4.099368439872045,-0.031454523925331435,0,False,False,False,0.8571428571428571,0.9206349206349206,0.9523809523809523,0.9841269841269841,1.0,61.66167758621651
expanding,4,2001-06-22,0.6099450505916035,0.11433411500280968,0.8250132333673655,0.9393473483701752,4.21209615199219,-0.04682983731585454,0,False,False,False,0.3492063492063492,1.0,1.0,1.0,1.0,58.29897977031872
expanding,5,2001-12-05,0.6568911531246142,0.11492863978477597,0.8199664947084686,0.9348951344932446,4.011129005858957,-0.0677719170661613,0,False,False,False,0.1746031746031746,0.6825396825396826,0.9523809523809523,1.0,1.0,40.29640458850653
expanding,6,2002-05-20,0.6723842307851677,0.1188650073245359,0.8144625529776723,0.9333275603022082,4.003911676374651,-0.06795227388650024,0,False,False,False,0.8095238095238095,0.9365079365079365,0.9841269841269841,0.9841269841269841,1.0,44.6242198927701
expanding,7,2002-10-25,0.6958501412080095,0.11935294942937234,0.8104663715017163,0.9298193209310887,4.059487010564928,-0.06115067013727792,0,False,False,False,0.8571428571428571,1.0,1.0,1.0,1.0,70.73277782357675
expanding,8,2003-04-09,0.6583308344049273,0.11120732819254328,0.8182097530648706,0.929417081257414,4.178864285063668,-0.058470128582549824,0,False,False,False,0.6825396825396826,0.9841269841269841,1.0,1.0,1.0,56.09710625415132
expanding,9,2003-09-16,0.6310085051791148,0.10421062900395979,0.8267137131786266,0.9309243421825865,4.1342946565636955,-0.05076628500968316,0,False,False,False,0.9523809523809523,0.9841269841269841,0.9841269841269841,1.0,1.0,62.348767194228394
expanding,10,2004-02-27,0.6159727727371914,0.10053871054117462,0.8296492748663546,0.9301879854075292,4.170455718184971,-0.04264816225076415,0,False,False,False,0.9841269841269841,1.0,1.0,1.0,1.0,68.71689452055794
expanding,11,2004-08-05,0.5669582109183626,0.09713315029724662,0.8364297672670119,0.9335629175642586,4.203031368889539,-0.0482879601838551,0,False,False,False,0.23809523809523808,0.8412698412698413,0.9523809523809523,1.0,1.0,56.90029965790409
expanding,12,2005-01-13,0.5995622917573992,0.0964841690625954,0.8335942991138318,0.9300784681764271,4.122377334649092,-0.03676083598337708,0,False,False,False,0.015873015873015872,0.36507936507936506,0.8095238095238095,1.0,1.0,88.71063976905619
expanding,13,2005-06-22,0.5849027309338471,0.09215855851703189,0.8373964699660296,0.9295550284830615,4.231302829567449,-0.034037784191393146,0,False,False,False,0.47619047619047616,0.9682539682539683,1.0,1.0,1.0,94.73174269391401
expanding,14,2005-11-29,0.567400330020167,0.08646170878166065,0.8443353428675697,0.9307970516492303,4.268301603339225,-0.03489407013572969,0,False,False,False,0.15873015873015872,0.6349206349206349,0.9047619047619048,1.0,1.0,84.65339229314674
expanding,15,2006-05-09,0.5343640146476164,0.08247468070245437,0.8502458475582073,0.9327205282606617,4.330309589119742,-0.03131517938884083,0,False,False,False,0.5079365079365079,0.9841269841269841,1.0,1.0,1.0,90.78263088262686
expanding,16,2006-10-13,0.43012324421107434,0.0794287579022524,0.8658583003667726,0.9452870582690249,4.302098556633377,-0.029804922532888637,0,False,False,False,0.09523809523809523,0.6349206349206349,1.0,1.0,1.0,84.80723528576652
expanding,17,2007-03-27,0.3465090649539901,0.07538753353791584,0.8798355982762397,0.9552231318141555,4.327275517439377,-0.024281972959306973,0,False,False,False,0.5555555555555556,1.0,1.0,1.0,1.0,92.90025220468665
expanding,18,2007-08-31,0.2605760407147923,0.06926809968799105,0.8971224808424685,0.9663905805304596,4.285062140557535,-0.023484799883188755,0,False,False,False,0.1746031746031746,0.6507936507936508,0.7619047619047619,0.9682539682539683,1.0,89.94065100655234
expanding,19,2008-02-12,0.23084233640386057,0.06666430214393652,0.9032354812877343,0.9698997834316708,4.274295725282534,-0.0076461396531693005,0,False,False,False,0.31746031746031744,0.8571428571428571,1.0,1.0,1.0,115.20034985598602
expanding,20,2008-07-21,0.22110169060512563,0.06186451693084074,0.9087349841369714,0.9705995010678121,4.289216842922133,-0.001677008556757274,0,False,False,False,0.8412698412698413,1.0,1.0,1.0,1.0,109.3150666390561
expanding,21,2008-12-24,0.21586670838788705,0.05954120419750127,0.9111828190132744,0.9707240232107757,4.299363103380003,-0.007158664757274982,0,False,False,False,0.5555555555555556,0.9206349206349206,1.0,1.0,1.0,85.96824187975677
expanding,22,2009-06-04,0.1928297056777951,0.05498201429952296,0.9184611980096976,0.9734432123092206,4.283300203169615,0.0030557195763513505,0,False,False,False,0.19047619047619047,0.5238095238095238,0.6349206349206349,0.9047619047619048,1.0,107.32213270453244
expanding,23,2009-11-09,0.18228350744683675,0.05161741589440777,0.9228091172910234,0.9744265331854312,4.297730852354066,0.003678051997437268,0,False,False,False,0.9365079365079365,0.9523809523809523,1.0,1.0,1.0,111.23958779899611
expanding,24,2010-04-20,0.15152982959757252,0.04861666866797496,0.9296877373980416,0.9783044060660165,4.330516748067561,0.0013834092549154372,0,False,False,False,0.3968253968253968,0.5873015873015873,0.8888888888888888,1.0,1.0,91.9600354607582
expanding,25,2010-09-24,0.14440026777737602,0.04802279710090639,0.9313702109528357,0.9793930080537421,4.331328945925087,0.011922993798696057,0,False,False,False,0.25396825396825395,0.9523809523809523,1.0,1.0,1.0,146.4692775152255
expanding,26,2011-03-04,0.13893568298442335,0.046663259390624406,0.9329730016264736,0.979636261017098,4.415343405661542,0.019005848478200166,0,False,False,False,0.8095238095238095,0.9682539682539683,0.9841269841269841,1.0,1.0,202.14898901955334
