scale,model,origin_id,step,error
1,Naive,1,1,14.599999999999966
1,Naive,1,2,13.199999999999989
1,Naive,1,3,21.55000000000001
1,Naive,1,4,4.699999999999989
1,Naive,1,5,15.75
1,Naive,1,6,22.69999999999999
1,Naive,1,7,30.649999999999977
1,Naive,1,8,11.599999999999966
1,Naive,1,9,9.649999999999977
1,Naive,1,10,7.75
1,Naive,1,11,10.5
1,Naive,1,12,23.30000000000001
1,Naive,1,13,12.449999999999989
1,Naive,1,14,14.449999999999989
1,Naive,1,15,7.949999999999989
1,Naive,1,16,15.399999999999977
1,Naive,1,17,22.149999999999977
1,Naive,1,18,19.44999999999999
1,Naive,1,19,19.44999999999999
1,Naive,1,20,20.94999999999999
1,Naive,1,21,19.44999999999999
1,Naive,1,22,13.5
1,Naive,1,23,11.699999999999989
1,Naive,1,24,19.899999999999977
1,Naive,1,25,14.199999999999989
1,Naive,1,26,4.0
1,Naive,1,27,2.1499999999999773
1,Naive,1,28,8.75
1,Naive,1,29,13.399999999999977
1,Naive,1,30,5.149999999999977
1,Naive,1,31,4.350000000000023
1,Naive,1,32,12.75
1,Naive,1,33,40.150000000000034
1,Naive,1,34,46.60000000000002
1,Naive,1,35,51.400000000000034
1,Naive,1,36,44.69999999999999
1,Naive,1,37,45.10000000000002
1,Naive,1,38,46.900000000000034
1,Naive,1,39,41.80000000000001
1,Naive,1,40,39.900000000000034
1,Naive,1,41,41.85000000000002
1,Naive,1,42,43.30000000000001
1,Naive,1,43,34.75
1,Naive,1,44,32.69999999999999
1,Naive,1,45,18.19999999999999
1,Naive,1,46,16.600000000000023
1,Naive,1,47,19.69999999999999
1,Naive,1,48,34.400000000000034
1,Naive,1,49,36.0
1,Naive,1,50,31.80000000000001
1,Naive,1,51,36.05000000000001
1,Naive,1,52,33.94999999999999
1,Naive,1,53,36.75
1,Naive,1,54,36.75
1,Naive,1,55,45.55000000000001
1,Naive,1,56,44.55000000000001
1,Naive,1,57,44.35000000000002
1,Naive,1,58,41.150000000000034
1,Naive,1,59,35.80000000000001
1,Naive,1,60,24.80000000000001
1,Naive,1,61,41.05000000000001
1,Naive,1,62,46.55000000000001
1,Naive,1,63,59.80000000000001
1,RWD,1,1,14.421335504885974
1,RWD,1,2,12.842671009771948
1,RWD,1,3,21.01400651465798
1,RWD,1,4,3.985342019543964
1,RWD,1,5,14.856677524429983
1,RWD,1,6,21.628013029315923
1,RWD,1,7,29.39934853420192
1,RWD,1,8,10.170684039087917
1,RWD,1,9,8.042019543973936
1,RWD,1,10,5.96335504885991
1,RWD,1,11,8.534690553745918
1,RWD,1,12,21.156026058631937
1,RWD,1,13,10.127361563517923
1,RWD,1,14,11.948697068403874
1,RWD,1,15,5.270032573289882
1,RWD,1,16,12.541368078175879
1,RWD,1,17,19.112703583061887
1,RWD,1,18,16.23403908794785
1,RWD,1,19,16.055374592833857
1,RWD,1,20,17.376710097719865
1,RWD,1,21,15.698045602605873
1,RWD,1,22,9.569381107491836
1,RWD,1,23,7.5907166123778325
1,RWD,1,24,15.61205211726383
1,RWD,1,25,9.733387622149849
1,RWD,1,26,0.6452768729641889
1,RWD,1,27,2.6739413680782036
1,RWD,1,28,3.747394136807827
1,RWD,1,29,8.218729641693812
1,RWD,1,30,0.20993485342023632
1,RWD,1,31,9.888599348534228
1,RWD,1,32,18.467263843648198
1,RWD,1,33,46.045928338762224
1,RWD,1,34,52.67459283387626
1,RWD,1,35,57.653257328990264
1,RWD,1,36,51.13192182410421
1,RWD,1,37,51.71058631921824
1,RWD,1,38,53.6892508143323
1,RWD,1,39,48.767915309446266
1,RWD,1,40,47.04657980456028
1,RWD,1,41,49.17524429967426
1,RWD,1,42,50.8039087947883
1,RWD,1,43,42.43257328990228
1,RWD,1,44,40.56123778501626
1,RWD,1,45,26.23990228013031
1,RWD,1,46,24.818566775244335
1,RWD,1,47,28.097231270358293
1,RWD,1,48,42.97589576547233
1,RWD,1,49,44.754560260586345
1,RWD,1,50,40.73322475570035
1,RWD,1,51,45.16188925081434
1,RWD,1,52,43.24055374592831
1,RWD,1,53,46.21921824104237
1,RWD,1,54,46.39788273615636
1,RWD,1,55,55.376547231270365
1,RWD,1,56,54.55521172638436
1,RWD,1,57,54.53387622149842
1,RWD,1,58,51.51254071661242
1,RWD,1,59,46.34120521172639
1,RWD,1,60,35.51986970684038
1,RWD,1,61,51.94853420195443
1,RWD,1,62,57.62719869706842
1,RWD,1,63,71.05586319218241
1,Theta,1,1,14.52526329909341
1,Theta,1,2,13.050647516260256
1,Theta,1,3,21.3260317334271
1,Theta,1,4,4.401415950593901
1,Theta,1,5,15.376800167760734
1,Theta,1,6,22.252184384927546
1,Theta,1,7,30.127568602094357
1,Theta,1,8,11.002952819261168
1,Theta,1,9,8.978337036428002
1,Theta,1,10,7.003721253594847
1,Theta,1,11,9.67910547076167
1,Theta,1,12,22.404489687928503
1,Theta,1,13,11.479873905095303
1,Theta,1,14,13.405258122262126
1,Theta,1,15,6.830642339428948
1,Theta,1,16,14.20602655659576
1,Theta,1,17,20.881410773762582
1,Theta,1,18,18.106794990929416
1,Theta,1,19,18.032179208096238
1,Theta,1,20,19.45756342526306
1,Theta,1,21,17.882947642429883
1,Theta,1,22,11.858331859596717
1,Theta,1,23,9.983716076763528
1,Theta,1,24,18.10910029393034
1,Theta,1,25,12.334484511097173
1,Theta,1,26,2.059868728264007
1,Theta,1,27,0.1352529454308069
1,Theta,1,28,6.660637162597652
1,Theta,1,29,11.236021379764452
1,Theta,1,30,2.9114055969312744
1,Theta,1,31,6.663210185901903
1,Theta,1,32,15.137825968735058
1,Theta,1,33,42.61244175156827
1,Theta,1,34,49.137057534401436
1,Theta,1,35,54.011673317234624
1,Theta,1,36,47.386289100067756
1,Theta,1,37,47.86090488290097
1,Theta,1,38,49.73552066573416
1,Theta,1,39,44.71013644856731
1,Theta,1,40,42.88475223140051
1,Theta,1,41,44.90936801423368
1,Theta,1,42,46.433983797066844
1,Theta,1,43,37.95859957990001
1,Theta,1,44,35.983215362733176
1,Theta,1,45,21.557831145566354
1,Theta,1,46,20.032446928399565
1,Theta,1,47,23.20706271123271
1,Theta,1,48,37.98167849406593
1,Theta,1,49,39.656294276899075
1,Theta,1,50,35.530910059732264
1,Theta,1,51,39.85552584256544
1,Theta,1,52,37.830141625398596
1,Theta,1,53,40.704757408231785
1,Theta,1,54,40.77937319106496
1,Theta,1,55,49.65398897389815
1,Theta,1,56,48.72860475673133
1,Theta,1,57,48.60322053956452
1,Theta,1,58,45.47783632239771
1,Theta,1,59,40.20245210523086
1,Theta,1,60,29.27706788806404
1,Theta,1,61,45.601683670897216
1,Theta,1,62,51.176299453730394
1,Theta,1,63,64.50091523656357
1,ETS,1,1,14.600005013002772
1,ETS,1,2,13.200005013002794
1,ETS,1,3,21.550005013002817
1,ETS,1,4,4.700005013002794
1,ETS,1,5,15.750005013002806
1,ETS,1,6,22.700005013002794
1,ETS,1,7,30.650005013002783
1,ETS,1,8,11.600005013002772
1,ETS,1,9,9.650005013002783
1,ETS,1,10,7.750005013002806
1,ETS,1,11,10.500005013002806
1,ETS,1,12,23.300005013002817
1,ETS,1,13,12.450005013002794
1,ETS,1,14,14.450005013002794
1,ETS,1,15,7.950005013002794
1,ETS,1,16,15.400005013002783
1,ETS,1,17,22.150005013002783
1,ETS,1,18,19.450005013002794
1,ETS,1,19,19.450005013002794
1,ETS,1,20,20.950005013002794
1,ETS,1,21,19.450005013002794
1,ETS,1,22,13.500005013002806
1,ETS,1,23,11.700005013002794
1,ETS,1,24,19.900005013002783
1,ETS,1,25,14.200005013002794
1,ETS,1,26,4.000005013002806
1,ETS,1,27,2.150005013002783
1,ETS,1,28,8.750005013002806
1,ETS,1,29,13.400005013002783
1,ETS,1,30,5.150005013002783
1,ETS,1,31,4.349994986997217
1,ETS,1,32,12.749994986997194
1,ETS,1,33,40.14999498699723
1,ETS,1,34,46.59999498699722
1,ETS,1,35,51.39999498699723
1,ETS,1,36,44.69999498699718
1,ETS,1,37,45.09999498699722
1,ETS,1,38,46.89999498699723
1,ETS,1,39,41.799994986997206
1,ETS,1,40,39.89999498699723
1,ETS,1,41,41.84999498699722
1,ETS,1,42,43.299994986997206
1,ETS,1,43,34.749994986997194
1,ETS,1,44,32.69999498699718
1,ETS,1,45,18.199994986997183
1,ETS,1,46,16.599994986997217
1,ETS,1,47,19.699994986997183
1,ETS,1,48,34.39999498699723
1,ETS,1,49,35.999994986997194
1,ETS,1,50,31.799994986997206
1,ETS,1,51,36.049994986997206
1,ETS,1,52,33.94999498699718
1,ETS,1,53,36.749994986997194
1,ETS,1,54,36.749994986997194
1,ETS,1,55,45.549994986997206
1,ETS,1,56,44.549994986997206
1,ETS,1,57,44.34999498699722
1,ETS,1,58,41.14999498699723
1,ETS,1,59,35.799994986997206
1,ETS,1,60,24.799994986997206
1,ETS,1,61,41.049994986997206
1,ETS,1,62,46.549994986997206
1,ETS,1,63,59.799994986997206
1,ARIMA,1,1,14.396876798150174
1,ARIMA,1,2,13.136123687608972
1,ARIMA,1,3,21.37694394154687
1,ARIMA,1,4,4.611391871232911
1,ARIMA,1,5,15.595988120645131
1,ARIMA,1,6,22.59663604488702
1,ARIMA,1,7,30.50741438988871
1,ARIMA,1,8,11.487787528483807
1,ARIMA,1,9,9.514266653291315
1,ARIMA,1,10,7.632481154307754
1,ARIMA,1,11,10.368375894834628
1,ARIMA,1,12,23.179298968961348
1,ARIMA,1,13,12.320840170411259
1,ARIMA,1,14,14.327390640734905
1,ARIMA,1,15,7.822317974539203
1,ARIMA,1,16,15.276246233284212
1,ARIMA,1,17,22.02320420052024
1,ARIMA,1,18,19.325559942322798
1,ARIMA,1,19,19.323735662352476
1,ARIMA,1,20,20.82514837974219
1,ARIMA,1,21,19.32405437528257
1,ARIMA,1,22,13.374901569326084
1,ARIMA,1,23,11.574245504589726
1,ARIMA,1,24,19.774753559316423
1,ARIMA,1,25,14.074360123133943
1,ARIMA,1,26,3.874664799031166
1,ARIMA,1,27,2.0244288588546056
1,ARIMA,1,28,8.624611570278148
1,ARIMA,1,29,13.274470079054424
1,ARIMA,1,30,5.0245796494687625
1,ARIMA,1,31,4.475505201558633
1,ARIMA,1,32,12.875439493156478
1,ARIMA,1,33,40.275490377562335
1,ARIMA,1,34,46.725450972818464
1,ARIMA,1,35,51.52548148774372
1,ARIMA,1,36,44.82545785706952
1,ARIMA,1,37,45.225476156598575
1,ARIMA,1,38,47.02546198549362
1,ARIMA,1,39,41.92547295955825
1,ARIMA,1,40,40.025464461272804
1,ARIMA,1,41,41.975471042321715
1,ARIMA,1,42,43.42546594597553
1,ARIMA,1,43,34.87546989257197
1,ARIMA,1,44,32.825466836338535
1,ARIMA,1,45,18.32546920307732
1,ARIMA,1,46,16.725467370281365
1,ARIMA,1,47,19.825468789593515
1,ARIMA,1,48,34.52546769048212
1,ARIMA,1,49,36.12546854163094
1,ARIMA,1,50,31.925467882503597
1,ARIMA,1,51,36.175468392929986
1,ARIMA,1,52,34.07546799765714
1,ARIMA,1,53,36.875468303755326
1,ARIMA,1,54,36.87546806671372
1,ARIMA,1,55,45.67546825027807
1,ARIMA,1,56,44.675468108126324
1,ARIMA,1,57,44.47546821820822
1,ARIMA,1,58,41.27546813296112
1,ARIMA,1,59,35.92546819897626
1,ARIMA,1,60,24.925468147854303
1,ARIMA,1,61,41.175468187443016
1,ARIMA,1,62,46.675468156785655
1,ARIMA,1,63,59.92546818052665
1,GARCH,1,1,14.762353755260165
1,GARCH,1,2,13.524533010921061
1,GARCH,1,3,22.036537954536698
1,GARCH,1,4,5.348368773459583
1,GARCH,1,5,16.5600256548409
1,GARCH,1,6,23.67150878563052
1,GARCH,1,7,31.78281835257758
1,GARCH,1,8,12.893954542230404
1,GARCH,1,9,11.10491754093681
1,GARCH,1,10,9.365707534844319
1,GARCH,1,11,12.276324709900337
1,GARCH,1,12,25.236769251852536
1,GARCH,1,13,14.547041346248818
1,GARCH,1,14,16.707141178437723
1,GARCH,1,15,10.36706893356859
1,GARCH,1,16,17.9768247965917
1,GARCH,1,17,24.88640895225859
1,GARCH,1,18,22.345821585122223
1,GARCH,1,19,22.505062879537206
1,GARCH,1,20,24.16413301965997
1,GARCH,1,21,22.82303218944901
1,GARCH,1,22,17.03176057266512
1,GARCH,1,23,15.390318352871589
1,GARCH,1,24,23.74870571343439
1,GARCH,1,25,18.206922837522484
1,GARCH,1,26,8.164969908107878
1,GARCH,1,27,6.47284710796589
1,GARCH,1,28,13.230554619675559
1,GARCH,1,29,18.038092625619413
1,GARCH,1,30,9.94546130798426
1,GARCH,1,31,0.6026608487608769
1,GARCH,1,32,7.640308570255456
1,GARCH,1,33,34.883446767465045
