MAE,RMSE,MAPE,sMAPE,MASE,origin_id,origin_date,model,scale
26.03888888888888,29.875577300658467,0.07133104646730021,0.06870305135310242,7.211687180427875,1,2025-11-03,Naive,1
29.23076107750375,35.04285406561962,0.08076901471125983,0.07669802556475969,8.095702771201431,1,2025-11-03,RWD,1
27.325128617635727,31.970789018133583,0.07515412747627169,0.07195142672281063,7.567921987617318,1,2025-11-03,Theta,1
26.03888865017447,29.875575224116545,0.07133104494632801,0.068703050759862,7.21168711431393,1,2025-11-03,ETS,1
26.04418363231598,29.92698177292555,0.07136752551499685,0.0687161644026903,7.21315360372496,1,2025-11-03,ARIMA,1
23.348171928725243,25.852027533731892,0.06331724953457583,0.0617752932468263,6.466470704772028,1,2025-11-03,GARCH,1
49.243478729475754,60.30618002537541,0.1368207391872797,0.12401280248952547,13.638391629858324,1,2025-11-03,Prophet,1
24.709191113971848,29.209259456392246,0.06804294171728198,0.06532709742471278,6.843416305348234,1,2025-11-03,Ridge,1
24.55155555555555,26.08739223006161,0.06496835655075943,0.06482812996214893,6.799757824348474,1,2025-11-03,RF,1
20.874951365637397,22.600745790431706,0.055226815292840126,0.0551288593125501,5.7814916680204975,1,2025-11-03,Granite-TTM,1
4.342063492063493,5.174107545160703,0.04462592192109191,0.043619278802988215,1.4004449147066158,1,2000-02-29,Naive,10
4.456349206349212,5.239687528548381,0.07552456975845878,0.07175980693100494,1.892724615186641,2,2003-01-29,Naive,10
17.572222222222226,18.783867825242773,0.15405094806052178,0.1684919021711793,12.29162710980479,3,2005-12-19,Naive,10
5.269841269841273,6.068674445363628,0.04770115636880148,0.04637505829238657,3.49773267142576,4,2008-11-05,Naive,10
31.588095238095256,32.62752331663834,0.13801886206397251,0.12846122775077237,15.535460635825899,5,2011-09-20,Naive,10
10.611111111111116,12.855951002958756,0.054348264067787165,0.05427784429996405,4.174497810127521,6,2014-08-01,Naive,10
5.463492063492064,7.53740934821373,0.04078529431981579,0.04207134268548425,2.188105229263666,7,2017-06-07,Naive,10
18.63571428571428,20.50012098299569,0.18161822060116484,0.16313959156550242,9.229321792115186,8,2020-03-25,Naive,10
18.46587301587301,20.711806501882645,0.10258199450461707,0.10906580736169953,8.457946193824807,9,2023-01-09,Naive,10
36.233333333333356,44.1375429584917,0.09905939161614989,0.09204321589808521,10.06299378807069,10,2025-10-23,Naive,10
4.673562380435346,5.653986914584728,0.04819349892386635,0.046858629690564396,1.507363188310817,1,2000-02-29,RWD,10
3.641448218809784,4.3451889167903355,0.06162214206400429,0.05916120813539658,1.5466154826576515,2,2003-01-29,RWD,10
17.838020267824827,19.021482383219737,0.15645026459447128,0.17129372872968324,12.47755068974509,3,2005-12-19,RWD,10
5.744874618685696,6.6821130291288435,0.05219500646105469,0.050425728188944884,3.8130248366336073,4,2008-11-05,RWD,10
34.93402357685746,36.145126873735514,0.15265463753796615,0.1410153387064186,17.181034311773477,5,2011-09-20,RWD,10
10.763293521534571,12.767446765392405,0.05540031470425763,0.055058540736772535,4.234367613807875,6,2014-08-01,RWD,10
8.262023680264724,10.434211581808924,0.061860397182132716,0.06476018282240609,3.3089051853646465,7,2017-06-07,RWD,10
17.68707977870844,19.42521094637043,0.172310566004224,0.15563279917776143,8.759511352116489,8,2020-03-25,RWD,10
18.349587404994566,20.588228763612015,0.101937779075643,0.10833491062932682,8.404683754562905,9,2023-01-09,RWD,10
42.69551522672047,51.19458650989002,0.11645274680085797,0.107158010200297,11.85771953555562,10,2025-10-23,RWD,10
4.178037088573482,4.9212738317347435,0.04282967077407492,0.042003367072513245,1.3475415098934274,1,2000-02-29,Theta,10
3.4797149177765565,4.136468298471101,0.05876293928442664,0.05663611912600986,1.4779232447323023,2,2003-01-29,Theta,10
17.42230718433612,18.65072701319376,0.15269768496425024,0.16691588600015694,12.18676275511219,3,2005-12-19,Theta,10
5.581683218844302,6.465968352530276,0.05066819573320898,0.049037363722219104,3.704710399501018,4,2008-11-05,Theta,10
33.00512990773181,34.10833927321967,0.14421715275972577,0.13380556264712745,16.232377818194973,5,2011-09-20,Theta,10
10.603331327507798,12.804492635592013,0.0543485112544484,0.05423843709555951,4.17143717969257,6,2014-08-01,Theta,10
6.146520747456913,8.205103554422895,0.045922216265692234,0.04753167809706246,2.4616552990271634,7,2017-06-07,Theta,10
17.65363711085578,19.42948839420348,0.17205733108656668,0.15536527338294343,8.742948899051,8,2020-03-25,Theta,10
17.45101628220353,19.635228958631064,0.0969657986034613,0.10271220152963179,7.993110134330684,9,2023-01-09,Theta,10
38.49058455482738,46.616151213590236,0.10514378858678411,0.09735967738223164,10.689894570591646,10,2025-10-23,Theta,10
4.34202278199233,5.173996481356354,0.04462539632205242,0.0436188796457927,1.4004317844950833,1,2000-02-29,ETS,10
4.456386522857551,5.239727570356518,0.07552520052204068,0.07176037834650432,1.8927404644548684,2,2003-01-29,ETS,10
17.572322251108126,18.783961401840127,0.15405184492688312,0.1684929539241942,12.291697079200244,3,2005-12-19,ETS,10
5.269571988149559,6.068383985400486,0.047698671095581506,0.046372753184855696,3.4975539420632047,4,2008-11-05,ETS,10
31.58811524160028,32.62754268288408,0.13801894868636985,0.12846130353037158,15.53547047382539,5,2011-09-20,ETS,10
10.610613088095404,12.855785726321216,0.05434536106309417,0.054275290900879444,4.174301883804,6,2014-08-01,ETS,10
5.463321763062233,7.537252232069318,0.04078403208264205,0.04206998782459616,2.1880370246691085,7,2017-06-07,ETS,10
18.635293080227196,20.499728461728164,0.1816142380197262,0.16313626641791312,9.22911319045274,8,2020-03-25,ETS,10
18.46571943932197,20.711627224892954,0.1025811701531806,0.10906484216929345,8.457875850971034,9,2023-01-09,ETS,10
42.725935360844076,51.22798586793641,0.11653459012602763,0.10722838661332547,11.866168043947107,10,2025-10-23,ETS,10
4.332107110520534,5.17610050166618,0.044532214800476234,0.04352138745940922,1.397233684855601,1,2000-02-29,ARIMA,10
4.526893864337282,5.305980538505623,0.07669863395660335,0.07283930976126327,1.9226867219384431,2,2003-01-29,ARIMA,10
17.776463160202585,18.973129608394636,0.15588550457111458,0.17064177272109288,12.43449199157464,3,2005-12-19,ARIMA,10
5.269841269841273,6.068674445363628,0.04770115636880148,0.04637505829238657,3.49773267142576,4,2008-11-05,ARIMA,10
34.93402405369387,36.1451273798417,0.15265463962374612,0.14101534047956663,17.181034546288195,5,2011-09-20,ARIMA,10
10.611111111111116,12.855951002958756,0.054348264067787165,0.05427784429996405,4.174497810127521,6,2014-08-01,ARIMA,10
5.463492063492064,7.53740934821373,0.04078529431981579,0.04207134268548425,2.188105229263666,7,2017-06-07,ARIMA,10
18.63571428571428,20.50012098299569,0.18161822060116484,0.16313959156550242,9.229321792115186,8,2020-03-25,ARIMA,10
18.46587301587301,20.711806501882645,0.10258199450461707,0.10906580736169953,8.457946193824807,9,2023-01-09,ARIMA,10
42.932336285686084,51.39234516256197,0.11707111880597507,0.10770967543331864,11.923491260815657,10,2025-10-23,ARIMA,10
4.11284023166956,4.826961359363659,0.0421186478531252,0.04135838916680198,1.3265135799995325,1,2000-02-29,GARCH,10
3.0803589059638337,3.6669262516814505,0.051663233770652364,0.05035296092565691,1.3083066104021703,2,2003-01-29,GARCH,10
22.95423970569091,23.914721218608577,0.20256403862806394,0.22712232406805574,16.056304745259883,3,2005-12-19,GARCH,10
4.933341526920675,5.650201017367228,0.0442718116413466,0.043506126711423336,3.2743889150444225,4,2008-11-05,GARCH,10
26.459305510165045,27.412356975063933,0.11558910423486608,0.10877320256072585,13.013051154433802,5,2011-09-20,GARCH,10
11.66571551168537,15.32122638364115,0.05811092584224669,0.059973075538388355,4.5893877980514235,6,2014-08-01,GARCH,10
5.543861031319296,7.6133249989455445,0.04138855407233467,0.042711084775923516,2.2202926575109565,7,2017-06-07,GARCH,10
16.709469043166465,18.35046955681811,0.1627784997806487,0.14781006511567374,8.275350459359085,8,2020-03-25,GARCH,10
22.396755882910195,25.003264873906822,0.1243513368928078,0.13421030444941215,10.25841323673415,9,2023-01-09,GARCH,10
31.209554994925572,38.75662252421654,0.08553447674538386,0.08006026496513456,8.66775229187819,10,2025-10-23,GARCH,10
8.194005001739987,10.425129444531718,0.08448863450853596,0.07914755216410288,2.6428108793761367,1,2000-02-29,Prophet,10
5.182110217750184,6.594992617024888,0.08815049748596536,0.08224311478517661,2.200973737374874,2,2003-01-29,Prophet,10
9.990690112705277,12.085794688080787,0.09279104672685248,0.08684378036964269,6.988406809452301,3,2005-12-19,Prophet,10
33.207820673356196,33.461606671779805,0.29590053191284316,0.2571391681761302,22.040906617201436,4,2008-11-05,Prophet,10
80.01806283128325,81.45540258278119,0.34849171054416445,0.2949730511163584,39.35398623755079,5,2011-09-20,Prophet,10
17.01109595564995,21.54937082671823,0.08417361030303447,0.08984933491441173,6.692304139608046,6,2014-08-01,Prophet,10
21.984051128820255,23.18164999506332,0.17141078666243328,0.15643610752419337,8.804518552668211,7,2017-06-07,Prophet,10
7.16864232441854,8.680968339973663,0.06720932752483555,0.06667710129291952,3.550264068780738,8,2020-03-25,Prophet,10
19.255799100838203,24.039722473424995,0.11687064943561985,0.1066346615341576,8.819756995729014,9,2023-01-09,Prophet,10
40.023201064132316,52.38879768947353,0.11009819158748776,0.10057963080506563,11.115544351988982,10,2025-10-23,Prophet,10
10.183364537010656,11.789355810225494,0.10519235161771137,0.09817347910042469,3.2844386330433064,1,2000-02-29,Ridge,10
11.737064813749535,13.092921901171808,0.1958547216757271,0.17459475499802116,4.9850293265558605,2,2003-01-29,Ridge,10
12.691343896823751,14.716955741453514,0.11012658579300345,0.11866255101136293,8.877492256202903,3,2005-12-19,Ridge,10
4.7738322124433985,5.370108961571396,0.042432158351364706,0.04211706299546622,3.168518375102961,4,2008-11-05,Ridge,10
42.711345485064406,45.16803479178537,0.1867372918688451,0.16898486437772733,21.006028425738958,5,2011-09-20,Ridge,10
12.058089835647367,16.494396473298387,0.05926673477329854,0.062163424456444,4.7437510630269895,6,2014-08-01,Ridge,10
8.284573274688082,10.509032399018706,0.062091664474384495,0.0649751577436698,3.3179362015905562,7,2017-06-07,Ridge,10
12.067998539891386,13.77378446961663,0.11833594784147622,0.10959140239950377,5.976666104868049,8,2020-03-25,Ridge,10
24.48541064597713,27.194668978204138,0.13600409599958702,0.14778122418669787,11.215082308827887,9,2023-01-09,Ridge,10
47.61687443432992,54.632356905857925,0.12902085688256165,0.11856870574785801,13.22451642060728,10,2025-10-23,Ridge,10
5.998769841269852,7.211373377937936,0.062047379583448095,0.05959998266389176,1.9347820993537266,1,2000-02-29,RF,10
2.327666666666674,2.7936963126477488,0.03830734194924477,0.03816009000774776,0.9886191121809978,2,2003-01-29,RF,10
16.80074603174601,18.08395139869811,0.1471064602729421,0.16041210074882697,11.751985763507998,3,2005-12-19,RF,10
4.489873015873032,5.502903837325989,0.039370737653175655,0.039841201635460594,2.9800471653760128,4,2008-11-05,RF,10
28.572452380952388,29.592511472096966,0.12481343037279297,0.11690850500480819,14.052325912262315,5,2011-09-20,RF,10
10.397571428571451,14.410687089960788,0.051229190960282896,0.05326405737384706,4.090489554271664,6,2014-08-01,RF,10
5.086873015873006,7.016584663020403,0.03812818296655411,0.03908056480412002,2.037270909755414,7,2017-06-07,RF,10
21.14366666666667,22.555755538150915,0.20461458054129544,0.1827186117502936,10.471383094850163,8,2020-03-25,RF,10
16.813476190476145,18.87320066037196,0.09361157505806009,0.09875220333632274,7.701096873565747,9,2023-01-09,RF,10
20.13046031746038,22.35483408500849,0.05313393119155633,0.05278827978906468,5.590782809354384,10,2025-10-23,RF,10
14.119822620210194,17.113010695968455,0.14606250184917516,0.13197703542130118,4.554063712144276,1,2000-02-29,Granite-TTM,10
6.013640073745971,6.906477823398491,0.10149897030242094,0.09506035201325491,2.5541455723970183,2,2003-01-29,Granite-TTM,10
